SIM,Hid,Drp,Acc_train [%],F1_train [%],Acc_val [%],F1_val [%]
0,64_32_16,0.2,0.0,0.0,0.0,0.0
1,64_32_16,0.3,0.0,0.0,0.0,0.0
2,64_32_16,0.4,0.0,0.0,0.0,0.0
3,64_32_16,0.5,0.0,0.0,0.0,0.0
4,64_32_16,0.6,0.0,0.0,0.0,0.0
5,64_32_16,0.7,0.0,0.0,0.0,0.0
6,64_32_8,0.2,0.0,0.0,0.0,0.0
7,64_32_8,0.3,0.0,0.0,0.0,0.0
8,64_32_8,0.4,0.0,0.0,0.0,0.0
9,64_32_8,0.5,0.0,0.0,0.0,0.0
10,64_32_8,0.6,0.0,0.0,0.0,0.0
11,64_32_8,0.7,0.0,0.0,0.0,0.0
12,32_16_16,0.2,0.0,0.0,0.0,0.0
13,32_16_16,0.3,0.0,0.0,0.0,0.0
14,32_16_16,0.4,0.0,0.0,0.0,0.0
15,32_16_16,0.5,0.0,0.0,0.0,0.0
16,32_16_16,0.6,0.0,0.0,0.0,0.0
17,32_16_16,0.7,0.0,0.0,0.0,0.0
18,32_16_8,0.2,0.0,0.0,0.0,0.0
19,32_16_8,0.3,0.0,0.0,0.0,0.0
20,32_16_8,0.4,0.0,0.0,0.0,0.0
21,32_16_8,0.5,0.0,0.0,0.0,0.0
22,32_16_8,0.6,0.0,0.0,0.0,0.0
23,32_16_8,0.7,0.0,0.0,0.0,0.0
24,64_32,0.2,0.0,0.0,0.0,0.0
25,64_32,0.3,0.0,0.0,0.0,0.0
26,64_32,0.4,0.0,0.0,0.0,0.0
27,64_32,0.5,0.0,0.0,0.0,0.0
28,64_32,0.6,0.0,0.0,0.0,0.0
29,64_32,0.7,0.0,0.0,0.0,0.0
30,32_16,0.2,0.0,0.0,0.0,0.0
31,32_16,0.3,0.0,0.0,0.0,0.0
32,32_16,0.4,0.0,0.0,0.0,0.0
33,32_16,0.5,0.0,0.0,0.0,0.0
34,32_16,0.6,0.0,0.0,0.0,0.0
35,32_16,0.7,0.0,0.0,0.0,0.0
36,32_8,0.2,0.0,0.0,0.0,0.0
37,32_8,0.3,0.0,0.0,0.0,0.0
38,32_8,0.4,0.0,0.0,0.0,0.0
39,32_8,0.5,0.0,0.0,0.0,0.0
40,32_8,0.6,0.0,0.0,0.0,0.0
41,32_8,0.7,0.0,0.0,0.0,0.0
